Index,Date_2017,Hour,Throughput_2017,Week Number,Weekday,Date_2018,Throughput_2018,Date_2019,Throughput_2019
1426,,8:00:00,,20,Saturday,5/19/18,1,5/18/19,5
1427,,9:00:00,,20,Saturday,5/19/18,2,,
1428,,10:00:00,,20,Saturday,5/19/18,2,5/18/19,2
1429,,11:00:00,,20,Saturday,5/19/18,5,5/18/19,4
1430,,14:00:00,,20,Saturday,5/19/18,2,5/18/19,2
1431,,15:00:00,,20,Saturday,5/19/18,2,,
1432,,16:00:00,,20,Saturday,5/19/18,2,5/18/19,6
1433,,17:00:00,,20,Saturday,,,5/18/19,2
1434,,18:00:00,,20,Saturday,,,5/18/19,2
1435,,20:00:00,,20,Saturday,5/19/18,2,5/18/19,5
1436,5/21/17,5:00:00,1,20,Sunday,,,,
1437,,6:00:00,,20,Sunday,,,5/19/19,6
1438,,7:00:00,,20,Sunday,,,5/19/19,1
1439,,8:00:00,,20,Sunday,,,5/19/19,1
1440,,9:00:00,,20,Sunday,5/20/18,1,5/19/19,2
1441,,10:00:00,,20,Sunday,5/20/18,2,5/19/19,3
1442,,11:00:00,,20,Sunday,5/20/18,1,5/19/19,3
1443,,12:00:00,,20,Sunday,,,5/19/19,5
1444,,14:00:00,,20,Sunday,,,5/19/19,2
1445,,15:00:00,,20,Sunday,5/20/18,3,,
1446,,16:00:00,,20,Sunday,,,5/19/19,4
1447,,20:00:00,,20,Sunday,5/20/18,1,,
1448,,21:00:00,,20,Sunday,,,5/19/19,2
1449,5/18/17,7:00:00,1,20,Thursday,,,,
1450,,8:00:00,,20,Thursday,5/17/18,1,5/16/19,5
1451,,9:00:00,,20,Thursday,5/17/18,7,,
1452,,11:00:00,,20,Thursday,5/17/18,2,5/16/19,3
1453,,14:00:00,,20,Thursday,5/17/18,6,5/16/19,5
1454,,17:00:00,,20,Thursday,,,5/16/19,1
1455,,18:00:00,,20,Thursday,5/17/18,1,5/16/19,2
1456,,20:00:00,,20,Thursday,5/17/18,5,,
1457,,5:00:00,,20,Tuesday,,,5/14/19,1
1458,,7:00:00,,20,Tuesday,5/15/18,2,,
1459,,9:00:00,,20,Tuesday,5/15/18,1,,
1460,,10:00:00,,20,Tuesday,,,5/14/19,2
1461,,11:00:00,,20,Tuesday,5/15/18,3,5/14/19,1
1462,,12:00:00,,20,Tuesday,5/15/18,1,,
1463,,13:00:00,,20,Tuesday,5/15/18,1,,
1464,,14:00:00,,20,Tuesday,5/15/18,2,5/14/19,2
1465,,15:00:00,,20,Tuesday,5/15/18,2,5/14/19,2
1466,,17:00:00,,20,Tuesday,5/15/18,1,,
1467,5/16/17,19:00:00,1,20,Tuesday,,,,
1468,,20:00:00,,20,Tuesday,5/15/18,1,,
1469,5/16/17,21:00:00,3,20,Tuesday,,,5/14/19,4
1470,,6:00:00,,20,Wednesday,,,5/15/19,1
1471,,8:00:00,,20,Wednesday,5/16/18,2,5/15/19,2
1472,,9:00:00,,20,Wednesday,5/16/18,6,5/15/19,1
1473,,10:00:00,,20,Wednesday,,,5/15/19,1
1474,,11:00:00,,20,Wednesday,,,5/15/19,6
1475,,12:00:00,,20,Wednesday,5/16/18,1,,
1476,,13:00:00,,20,Wednesday,,,5/15/19,1
1477,5/17/17,14:00:00,1,20,Wednesday,5/16/18,4,5/15/19,2
1478,5/17/17,15:00:00,1,20,Wednesday,5/16/18,5,5/15/19,1
1479,5/17/17,16:00:00,2,20,Wednesday,,,5/15/19,4
1480,,17:00:00,,20,Wednesday,,,5/15/19,8
1481,,19:00:00,,20,Wednesday,,,5/15/19,4
1482,,20:00:00,,20,Wednesday,,,5/15/19,4
1483,,21:00:00,,20,Wednesday,5/16/18,6,5/15/19,3
1484,,5:00:00,,21,Friday,5/25/18,2,,
1485,,6:00:00,,21,Friday,,,5/24/19,1
1486,,8:00:00,,21,Friday,5/25/18,4,5/24/19,4
1487,,9:00:00,,21,Friday,5/25/18,2,5/24/19,4
1488,,10:00:00,,21,Friday,5/25/18,5,,
1489,,11:00:00,,21,Friday,5/25/18,2,,
1490,,12:00:00,,21,Friday,,,5/24/19,8
1491,,13:00:00,,21,Friday,5/25/18,4,,
1492,,14:00:00,,21,Friday,5/25/18,1,,
1493,,15:00:00,,21,Friday,5/25/18,1,,
1494,,16:00:00,,21,Friday,5/25/18,1,,
1495,,17:00:00,,21,Friday,5/25/18,2,,
1496,,18:00:00,,21,Friday,5/25/18,1,5/24/19,5
1497,,20:00:00,,21,Friday,5/25/18,1,5/24/19,1
1498,,21:00:00,,21,Friday,5/25/18,2,,
1499,5/22/17,5:00:00,1,21,Monday,,,5/20/19,1
1500,,8:00:00,,21,Monday,,,5/20/19,5
1501,,9:00:00,,21,Monday,5/21/18,2,,
1502,,11:00:00,,21,Monday,5/21/18,3,,
1503,5/22/17,12:00:00,4,21,Monday,,,5/20/19,5
1504,,13:00:00,,21,Monday,5/21/18,2,,
1505,5/22/17,14:00:00,2,21,Monday,5/21/18,1,5/20/19,2
1506,,15:00:00,,21,Monday,,,5/20/19,2
1507,5/22/17,16:00:00,1,21,Monday,,,,
1508,,18:00:00,,21,Monday,5/21/18,2,5/20/19,6
1509,,19:00:00,,21,Monday,,,5/20/19,1
1510,,21:00:00,,21,Monday,5/21/18,1,5/20/19,3
1511,5/27/17,8:00:00,2,21,Saturday,5/26/18,1,,
1512,,9:00:00,,21,Saturday,5/26/18,4,,
1513,,10:00:00,,21,Saturday,5/26/18,1,5/25/19,3
1514,,13:00:00,,21,Saturday,5/26/18,2,5/25/19,1
1515,5/27/17,15:00:00,1,21,Saturday,,,5/25/19,3
1516,,17:00:00,,21,Saturday,,,5/25/19,1
1517,5/27/17,18:00:00,1,21,Saturday,5/26/18,2,,
1518,,19:00:00,,21,Saturday,5/26/18,3,,
1519,,20:00:00,,21,Saturday,5/26/18,1,,
1520,,9:00:00,,21,Sunday,5/27/18,2,,
