Index,Date_2015,Hour,Throughput_2015,Week Number,Weekday
75,1/22/15,9:00:00,54,4,Thursday
76,1/22/15,10:00:00,45,4,Thursday
77,1/22/15,11:00:00,6,4,Thursday
78,1/22/15,17:00:00,36,4,Thursday
79,1/22/15,18:00:00,45,4,Thursday
80,1/23/15,5:00:00,14,4,Friday
81,1/23/15,6:00:00,104,4,Friday
82,1/23/15,7:00:00,74,4,Friday
83,1/23/15,18:00:00,138,4,Friday
84,1/23/15,19:00:00,10,4,Friday
85,1/24/15,5:00:00,11,4,Saturday
86,1/24/15,6:00:00,150,4,Saturday
87,1/24/15,7:00:00,50,4,Saturday
88,1/24/15,17:00:00,94,4,Saturday
89,1/24/15,18:00:00,32,4,Saturday
90,1/25/15,5:00:00,16,4,Sunday
91,1/25/15,6:00:00,105,4,Sunday
92,1/25/15,7:00:00,80,4,Sunday
93,1/25/15,8:00:00,74,4,Sunday
94,1/25/15,9:00:00,51,4,Sunday
95,1/25/15,17:00:00,83,4,Sunday
96,1/25/15,18:00:00,87,4,Sunday
97,1/26/15,5:00:00,36,5,Monday
98,1/26/15,6:00:00,84,5,Monday
99,1/26/15,7:00:00,56,5,Monday
100,1/26/15,9:00:00,63,5,Monday
101,1/26/15,10:00:00,84,5,Monday
102,1/26/15,11:00:00,3,5,Monday
103,1/26/15,17:00:00,65,5,Monday
104,1/26/15,18:00:00,103,5,Monday
105,1/27/15,5:00:00,17,5,Tuesday
106,1/27/15,6:00:00,92,5,Tuesday
107,1/27/15,7:00:00,16,5,Tuesday
108,1/27/15,8:00:00,0,5,Tuesday
109,1/27/15,9:00:00,59,5,Tuesday
110,1/27/15,10:00:00,70,5,Tuesday
111,1/27/15,11:00:00,4,5,Tuesday
112,1/27/15,17:00:00,54,5,Tuesday
113,1/27/15,18:00:00,63,5,Tuesday
114,1/28/15,5:00:00,14,5,Wednesday
115,1/28/15,6:00:00,128,5,Wednesday
116,1/28/15,7:00:00,37,5,Wednesday
117,1/28/15,9:00:00,39,5,Wednesday
118,1/28/15,10:00:00,103,5,Wednesday
119,1/28/15,11:00:00,3,5,Wednesday
120,1/28/15,17:00:00,50,5,Wednesday
121,1/28/15,18:00:00,52,5,Wednesday
122,1/29/15,5:00:00,21,5,Thursday
123,1/29/15,6:00:00,129,5,Thursday
124,1/29/15,7:00:00,7,5,Thursday
125,1/29/15,9:00:00,80,5,Thursday
126,1/29/15,10:00:00,69,5,Thursday
127,1/29/15,11:00:00,1,5,Thursday
128,1/29/15,17:00:00,87,5,Thursday
129,1/29/15,18:00:00,29,5,Thursday
130,1/30/15,5:00:00,28,5,Friday
131,1/30/15,6:00:00,120,5,Friday
132,1/30/15,7:00:00,39,5,Friday
133,1/30/15,17:00:00,16,5,Friday
134,1/30/15,18:00:00,85,5,Friday
135,1/30/15,19:00:00,15,5,Friday
136,1/31/15,5:00:00,6,5,Saturday
137,1/31/15,6:00:00,105,5,Saturday
138,1/31/15,7:00:00,62,5,Saturday
139,1/31/15,17:00:00,68,5,Saturday
140,1/31/15,18:00:00,55,5,Saturday
141,2/1/15,5:00:00,26,5,Sunday
142,2/1/15,6:00:00,112,5,Sunday
143,2/1/15,7:00:00,79,5,Sunday
144,2/1/15,8:00:00,155,5,Sunday
145,2/1/15,9:00:00,44,5,Sunday
146,2/1/15,10:00:00,42,5,Sunday
147,2/1/15,11:00:00,33,5,Sunday
148,2/1/15,17:00:00,72,5,Sunday
149,2/1/15,18:00:00,181,5,Sunday
150,2/2/15,5:00:00,81,6,Monday
151,2/2/15,6:00:00,219,6,Monday
152,2/2/15,7:00:00,60,6,Monday
153,2/2/15,8:00:00,38,6,Monday
154,2/2/15,9:00:00,45,6,Monday
155,2/2/15,10:00:00,53,6,Monday
156,2/2/15,11:00:00,0,6,Monday
157,2/2/15,13:00:00,47,6,Monday
158,2/2/15,14:00:00,70,6,Monday
159,2/2/15,15:00:00,13,6,Monday
160,2/2/15,16:00:00,25,6,Monday
161,2/2/15,17:00:00,81,6,Monday
162,2/2/15,18:00:00,68,6,Monday
163,2/3/15,5:00:00,47,6,Tuesday
164,2/3/15,6:00:00,197,6,Tuesday
165,2/3/15,7:00:00,19,6,Tuesday
166,2/3/15,8:00:00,23,6,Tuesday
167,2/3/15,9:00:00,35,6,Tuesday
168,2/3/15,10:00:00,30,6,Tuesday
169,2/3/15,18:00:00,52,6,Tuesday
170,2/3/15,19:00:00,85,6,Tuesday
171,2/4/15,5:00:00,27,6,Wednesday
172,2/4/15,6:00:00,146,6,Wednesday
173,2/4/15,7:00:00,74,6,Wednesday
174,2/4/15,10:00:00,118,6,Wednesday
175,2/4/15,17:00:00,92,6,Wednesday
176,2/4/15,18:00:00,57,6,Wednesday
177,2/5/15,5:00:00,57,6,Thursday
178,2/5/15,6:00:00,73,6,Thursday
179,2/5/15,7:00:00,73,6,Thursday
180,2/5/15,17:00:00,93,6,Thursday
181,2/5/15,18:00:00,37,6,Thursday
182,2/6/15,5:00:00,16,6,Friday
183,2/6/15,6:00:00,118,6,Friday
184,2/6/15,7:00:00,70,6,Friday
185,2/6/15,17:00:00,64,6,Friday
186,2/6/15,18:00:00,73,6,Friday
187,2/7/15,5:00:00,6,6,Saturday
188,2/7/15,6:00:00,123,6,Saturday
189,2/7/15,7:00:00,92,6,Saturday
190,2/7/15,17:00:00,122,6,Saturday
191,2/7/15,18:00:00,31,6,Saturday
192,2/8/15,5:00:00,18,6,Sunday
193,2/8/15,6:00:00,121,6,Sunday
194,2/8/15,7:00:00,90,6,Sunday
195,2/8/15,8:00:00,75,6,Sunday
196,2/8/15,9:00:00,48,6,Sunday
197,2/8/15,17:00:00,63,6,Sunday
198,2/8/15,18:00:00,100,6,Sunday
199,2/9/15,5:00:00,34,7,Monday
200,2/9/15,6:00:00,140,7,Monday
201,2/9/15,7:00:00,87,7,Monday
202,2/9/15,9:00:00,48,7,Monday
203,2/9/15,10:00:00,69,7,Monday
204,2/9/15,11:00:00,0,7,Monday
205,2/9/15,17:00:00,70,7,Monday
206,2/9/15,18:00:00,81,7,Monday
207,2/10/15,5:00:00,19,7,Tuesday
208,2/10/15,6:00:00,159,7,Tuesday
209,2/10/15,7:00:00,75,7,Tuesday
210,2/10/15,9:00:00,103,7,Tuesday
211,2/10/15,10:00:00,79,7,Tuesday
212,2/10/15,11:00:00,7,7,Tuesday
213,2/10/15,17:00:00,61,7,Tuesday
214,2/10/15,18:00:00,52,7,Tuesday
215,2/11/15,5:00:00,19,7,Wednesday
216,2/11/15,6:00:00,170,7,Wednesday
217,2/11/15,7:00:00,36,7,Wednesday
218,2/11/15,8:00:00,10,7,Wednesday
219,2/11/15,9:00:00,53,7,Wednesday
220,2/11/15,10:00:00,85,7,Wednesday
221,2/11/15,11:00:00,49,7,Wednesday
222,2/11/15,17:00:00,88,7,Wednesday
223,2/11/15,18:00:00,65,7,Wednesday
224,2/12/15,5:00:00,59,7,Thursday
225,2/12/15,6:00:00,103,7,Thursday
226,2/12/15,7:00:00,71,7,Thursday
227,2/12/15,17:00:00,22,7,Thursday
228,2/12/15,18:00:00,90,7,Thursday
229,2/12/15,19:00:00,49,7,Thursday
230,2/13/15,5:00:00,17,7,Friday
231,2/13/15,6:00:00,177,7,Friday
232,2/13/15,7:00:00,65,7,Friday
233,2/13/15,17:00:00,161,7,Friday
234,2/14/15,5:00:00,13,7,Saturday
235,2/14/15,6:00:00,103,7,Saturday
236,2/14/15,7:00:00,78,7,Saturday
237,2/14/15,17:00:00,66,7,Saturday
238,2/14/15,18:00:00,70,7,Saturday
239,2/14/15,19:00:00,17,7,Saturday
240,2/15/15,5:00:00,9,7,Sunday
241,2/15/15,6:00:00,148,7,Sunday
242,2/15/15,7:00:00,35,7,Sunday
243,2/15/15,8:00:00,78,7,Sunday
244,2/15/15,9:00:00,25,7,Sunday
245,2/15/15,18:00:00,81,7,Sunday
246,2/15/15,19:00:00,45,7,Sunday
247,2/16/15,5:00:00,26,8,Monday
248,2/16/15,6:00:00,60,8,Monday
249,2/16/15,7:00:00,75,8,Monday
250,2/16/15,18:00:00,57,8,Monday
251,2/16/15,19:00:00,105,8,Monday
252,2/17/15,5:00:00,9,8,Tuesday
253,2/17/15,6:00:00,168,8,Tuesday
254,2/17/15,7:00:00,65,8,Tuesday
255,2/17/15,9:00:00,44,8,Tuesday
256,2/17/15,10:00:00,88,8,Tuesday
257,2/17/15,11:00:00,2,8,Tuesday
258,2/17/15,17:00:00,140,8,Tuesday
259,2/17/15,18:00:00,121,8,Tuesday
260,2/18/15,5:00:00,19,8,Wednesday
261,2/18/15,6:00:00,125,8,Wednesday
262,2/18/15,7:00:00,56,8,Wednesday
263,2/18/15,17:00:00,104,8,Wednesday
264,2/18/15,18:00:00,62,8,Wednesday
265,2/19/15,5:00:00,39,8,Thursday
266,2/19/15,6:00:00,155,8,Thursday
267,2/19/15,7:00:00,62,8,Thursday
268,2/19/15,17:00:00,17,8,Thursday
269,2/19/15,18:00:00,40,8,Thursday
270,2/19/15,19:00:00,78,8,Thursday
271,2/19/15,20:00:00,7,8,Thursday
272,2/20/15,5:00:00,11,8,Friday
273,2/20/15,6:00:00,92,8,Friday
274,2/20/15,7:00:00,90,8,Friday
275,2/20/15,17:00:00,50,8,Friday
276,2/20/15,18:00:00,90,8,Friday
277,2/21/15,5:00:00,18,8,Saturday
278,2/21/15,6:00:00,123,8,Saturday
279,2/21/15,7:00:00,191,8,Saturday
280,2/21/15,17:00:00,91,8,Saturday
281,2/21/15,18:00:00,68,8,Saturday
282,2/22/15,5:00:00,6,8,Sunday
283,2/22/15,7:00:00,113,8,Sunday
284,2/22/15,8:00:00,166,8,Sunday
285,2/22/15,9:00:00,65,8,Sunday
286,2/22/15,17:00:00,61,8,Sunday
287,2/22/15,18:00:00,99,8,Sunday
288,2/23/15,5:00:00,47,9,Monday
289,2/23/15,6:00:00,128,9,Monday
290,2/23/15,7:00:00,51,9,Monday
291,2/23/15,17:00:00,113,9,Monday
292,2/23/15,18:00:00,71,9,Monday
293,2/24/15,5:00:00,21,9,Tuesday
294,2/24/15,6:00:00,106,9,Tuesday
295,2/24/15,7:00:00,42,9,Tuesday
296,2/24/15,8:00:00,0,9,Tuesday
297,2/24/15,9:00:00,41,9,Tuesday
298,2/24/15,10:00:00,122,9,Tuesday
299,2/24/15,17:00:00,90,9,Tuesday
300,2/24/15,18:00:00,41,9,Tuesday
301,2/25/15,5:00:00,10,9,Wednesday
302,2/25/15,6:00:00,78,9,Wednesday
303,2/25/15,7:00:00,110,9,Wednesday
304,2/25/15,17:00:00,89,9,Wednesday
305,2/25/15,18:00:00,79,9,Wednesday
306,2/26/15,5:00:00,25,9,Thursday
307,2/26/15,6:00:00,140,9,Thursday
308,2/26/15,7:00:00,69,9,Thursday
309,2/26/15,17:00:00,27,9,Thursday
310,2/26/15,18:00:00,72,9,Thursday
311,2/26/15,19:00:00,50,9,Thursday
312,2/27/15,5:00:00,26,9,Friday
313,2/27/15,6:00:00,181,9,Friday
314,2/27/15,7:00:00,61,9,Friday
315,2/27/15,8:00:00,0,9,Friday
316,2/27/15,9:00:00,47,9,Friday
317,2/27/15,17:00:00,144,9,Friday
318,2/27/15,18:00:00,16,9,Friday
319,2/28/15,5:00:00,13,9,Saturday
320,2/28/15,6:00:00,138,9,Saturday
321,2/28/15,7:00:00,73,9,Saturday
322,2/28/15,17:00:00,111,9,Saturday
323,2/28/15,18:00:00,53,9,Saturday
324,3/1/15,5:00:00,9,9,Sunday
325,3/1/15,6:00:00,82,9,Sunday
326,3/1/15,7:00:00,97,9,Sunday
327,3/1/15,8:00:00,57,9,Sunday
328,3/1/15,9:00:00,63,9,Sunday
329,3/1/15,17:00:00,61,9,Sunday
330,3/1/15,18:00:00,96,9,Sunday
331,3/1/15,19:00:00,15,9,Sunday
332,3/2/15,5:00:00,16,10,Monday
333,3/2/15,6:00:00,141,10,Monday
334,3/2/15,7:00:00,71,10,Monday
335,3/2/15,18:00:00,92,10,Monday
336,3/2/15,19:00:00,82,10,Monday
337,3/3/15,5:00:00,5,10,Tuesday
338,3/3/15,6:00:00,141,10,Tuesday
339,3/3/15,7:00:00,63,10,Tuesday
340,3/3/15,9:00:00,76,10,Tuesday
341,3/3/15,10:00:00,41,10,Tuesday
342,3/3/15,11:00:00,70,10,Tuesday
343,3/3/15,17:00:00,80,10,Tuesday
344,3/3/15,18:00:00,39,10,Tuesday
345,3/4/15,5:00:00,26,10,Wednesday
346,3/4/15,6:00:00,169,10,Wednesday
347,3/4/15,7:00:00,59,10,Wednesday
348,3/4/15,17:00:00,122,10,Wednesday
349,3/4/15,18:00:00,36,10,Wednesday
350,3/5/15,5:00:00,16,10,Thursday
351,3/5/15,6:00:00,161,10,Thursday
352,3/5/15,7:00:00,62,10,Thursday
353,3/5/15,17:00:00,8,10,Thursday
354,3/5/15,18:00:00,57,10,Thursday
355,3/5/15,19:00:00,28,10,Thursday
356,3/6/15,5:00:00,29,10,Friday
357,3/6/15,6:00:00,169,10,Friday
358,3/6/15,7:00:00,65,10,Friday
359,3/6/15,17:00:00,117,10,Friday
