Index,Date_2019,Hour,Throughput_2019,Week Number,Weekday
191,8/8/19,10:00:00,0,32,Thursday
192,8/9/19,10:00:00,0,32,Friday
193,8/10/19,10:00:00,0,32,Saturday
194,8/11/19,10:00:00,104,32,Sunday
195,8/11/19,11:00:00,41,32,Sunday
196,8/11/19,12:00:00,16,32,Sunday
197,8/11/19,13:00:00,5,32,Sunday
198,8/12/19,10:00:00,41,33,Monday
199,8/12/19,11:00:00,4,33,Monday
200,8/12/19,12:00:00,0,33,Monday
201,8/12/19,13:00:00,0,33,Monday
202,8/13/19,10:00:00,41,33,Tuesday
203,8/13/19,11:00:00,111,33,Tuesday
204,8/13/19,12:00:00,24,33,Tuesday
205,8/13/19,13:00:00,79,33,Tuesday
206,8/14/19,10:00:00,83,33,Wednesday
207,8/14/19,11:00:00,121,33,Wednesday
208,8/14/19,12:00:00,135,33,Wednesday
209,8/14/19,13:00:00,81,33,Wednesday
210,8/15/19,10:00:00,44,33,Thursday
211,8/15/19,11:00:00,117,33,Thursday
212,8/15/19,12:00:00,51,33,Thursday
213,8/15/19,13:00:00,25,33,Thursday
214,8/16/19,10:00:00,0,33,Friday
215,8/17/19,10:00:00,0,33,Saturday
216,8/18/19,10:00:00,33,33,Sunday
217,8/18/19,11:00:00,18,33,Sunday
218,8/18/19,12:00:00,79,33,Sunday
219,8/18/19,13:00:00,55,33,Sunday
220,8/19/19,10:00:00,86,34,Monday
221,8/19/19,11:00:00,115,34,Monday
222,8/19/19,12:00:00,97,34,Monday
223,8/19/19,13:00:00,14,34,Monday
224,8/20/19,10:00:00,57,34,Tuesday
225,8/20/19,11:00:00,73,34,Tuesday
226,8/20/19,12:00:00,64,34,Tuesday
227,8/20/19,13:00:00,34,34,Tuesday
228,8/21/19,10:00:00,4,34,Wednesday
229,8/21/19,11:00:00,42,34,Wednesday
230,8/21/19,12:00:00,84,34,Wednesday
231,8/21/19,13:00:00,41,34,Wednesday
232,8/22/19,10:00:00,92,34,Thursday
233,8/22/19,11:00:00,68,34,Thursday
234,8/22/19,12:00:00,21,34,Thursday
235,8/22/19,13:00:00,46,34,Thursday
236,8/22/19,14:00:00,38,34,Thursday
237,8/22/19,15:00:00,2,34,Thursday
238,8/23/19,10:00:00,0,34,Friday
239,8/24/19,10:00:00,0,34,Saturday
240,8/25/19,10:00:00,77,34,Sunday
241,8/25/19,11:00:00,88,34,Sunday
242,8/25/19,12:00:00,70,34,Sunday
243,8/25/19,13:00:00,8,34,Sunday
244,8/26/19,10:00:00,109,35,Monday
245,8/26/19,11:00:00,16,35,Monday
