Index,Date_2015,Hour,Throughput_2015,Week Number,Weekday
187,1/23/15,10:00:00,25,4,Friday
188,1/23/15,11:00:00,49,4,Friday
189,1/23/15,12:00:00,77,4,Friday
190,1/23/15,13:00:00,90,4,Friday
191,1/23/15,14:00:00,113,4,Friday
192,1/23/15,15:00:00,102,4,Friday
193,1/23/15,16:00:00,21,4,Friday
194,1/23/15,17:00:00,60,4,Friday
195,1/23/15,18:00:00,87,4,Friday
196,1/23/15,19:00:00,116,4,Friday
197,1/23/15,20:00:00,118,4,Friday
198,1/23/15,21:00:00,79,4,Friday
199,1/24/15,6:00:00,28,4,Saturday
200,1/24/15,7:00:00,31,4,Saturday
201,1/24/15,8:00:00,129,4,Saturday
202,1/24/15,9:00:00,55,4,Saturday
203,1/24/15,10:00:00,54,4,Saturday
204,1/24/15,11:00:00,58,4,Saturday
205,1/24/15,12:00:00,75,4,Saturday
206,1/24/15,13:00:00,111,4,Saturday
207,1/24/15,14:00:00,110,4,Saturday
208,1/24/15,15:00:00,52,4,Saturday
209,1/24/15,16:00:00,51,4,Saturday
210,1/24/15,17:00:00,69,4,Saturday
211,1/24/15,18:00:00,94,4,Saturday
212,1/24/15,19:00:00,118,4,Saturday
213,1/24/15,20:00:00,140,4,Saturday
214,1/24/15,21:00:00,90,4,Saturday
215,1/25/15,7:00:00,79,4,Sunday
216,1/25/15,8:00:00,45,4,Sunday
217,1/25/15,9:00:00,80,4,Sunday
218,1/25/15,10:00:00,79,4,Sunday
219,1/25/15,11:00:00,75,4,Sunday
220,1/25/15,12:00:00,82,4,Sunday
221,1/25/15,13:00:00,75,4,Sunday
222,1/25/15,14:00:00,121,4,Sunday
223,1/25/15,15:00:00,61,4,Sunday
224,1/25/15,16:00:00,32,4,Sunday
225,1/25/15,17:00:00,68,4,Sunday
226,1/25/15,18:00:00,94,4,Sunday
227,1/25/15,19:00:00,94,4,Sunday
228,1/25/15,20:00:00,149,4,Sunday
229,1/25/15,21:00:00,129,4,Sunday
230,1/26/15,7:00:00,26,5,Monday
231,1/26/15,8:00:00,51,5,Monday
232,1/26/15,9:00:00,78,5,Monday
233,1/26/15,10:00:00,56,5,Monday
234,1/26/15,11:00:00,43,5,Monday
235,1/26/15,12:00:00,62,5,Monday
236,1/26/15,13:00:00,97,5,Monday
237,1/26/15,14:00:00,108,5,Monday
238,1/26/15,15:00:00,50,5,Monday
239,1/26/15,16:00:00,52,5,Monday
240,1/26/15,17:00:00,65,5,Monday
